"key","format","code"
"Standby","HEX","3;0xC1AA8976;32;0"
"On","HEX","3;0xC1AA09F6;32;0"
"Blank","HEX","3;0xC1AAC936;32;0"
"HDMI1","HEX","3;0xC1AACE31;32;0"
"HDMI2","HEX","3;0xC1AAEE11;32;0"
"Aspect","HEX","3;0xC1AA51AE;32;0"
"Information","HEX","3;0xC1AAB946;32;0"
"LightOutput","HEX","3;0xC1AA2ED1;32;0"
"FineFast","HEX","3;0xC1AA1EE1;32;0"
"Forward","HEX","3;0xC1AA3AC5;32;0"
"Backward","HEX","3;0xC1AA5AA5;32;0"
"Play","HEX","3;0xC1AA7A85;32;0"
"SkipBackward","HEX","3;0xC1AABA45;32;0"
"SkipForward","HEX","3;0xC1AAFA05;32;0"
"Pause","HEX","3;0xC1AADA25;32;0"
"Stop","HEX","3;0xC1AA9A65;32;0"
"LinkMenu","HEX","3;0xC1AA06F9;32;0"
"Mute","HEX","3;0xC1AAB54A;32;0"
"HDMILink","HEX","3;0xC1AA6A95;32;0"
"VolumeDown","HEX","3;0xC1AA9966;32;0"
"VolumeUp","HEX","3;0xC1AA19E6;32;0"
"Lens","HEX","3;0xC1AAB14E;32;0"
"ColorMode","HEX","3;0xC1AAF10E;32;0"
"ImageEnh","HEX","3;0xC1AA55AA;32;0"
"Up","HEX","3;0xC1AA0DF2;32;0"
"Left","HEX","3;0xC1AACD32;32;0"
"Enter","HEX","3;0xC1AAA15E;32;0"
"Right","HEX","3;0xC1AA8D72;32;0"
"Down","HEX","3;0xC1AA4DB2;32;0"
"Default","HEX","3;0xC1AA9C63;32;0"
"Menu","HEX","3;0xC1AA59A6;32;0"
"ESC","HEX","3;0xC1AA21DE;32;0"
"Memory","HEX","3;0xC1AAD12E;32;0"
"Lens1","HEX","3;0xC1AA758A;32;0"
"Lens2","HEX","3;0xC1AAF50A;32;0"
"FrameInt","HEX","3;0xC1AAC13E;32;0"
"RGBCMY","HEX","3;0xC1AABC43;32;0"
"Pattern","HEX","3;0xC1AA6996;32;0"
"HDR","HEX","3;0xC1AA7E81;32;0"
