"key","format","code"
"Power_Toggle","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 0ED8"
"Speed_Up","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 001E 001E 003B 001E 001E 001E 003B 001E 001E 001E 001E 001E 0ED8"
"Speed_Down","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 003B 001E 003B 001E 003B 001E 003B 001E 003B 001E 001E 001E 001E 001E 0ED8"
"Temperature_Up","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 003B 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 0ED8"
"Temperature_Down","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 0ED8"
"Fan_Mode","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 001E 001E 003B 001E 001E 001E 003B 001E 001E 001E 001E 001E 001E 001E 0ED8"
"Oscillate_Toggle","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 0ED8"
"Narrow_Airflow","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 001E 001E 001E 001E 003B 001E 001E 001E 001E 001E 001E 001E 0ED8"
"Timer","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 001E 001E 001E 001E 0ED8"
"Wide_Airflow","PRONTO","0000 006D 0000 0011 0059 001E 001E 001E 001E 003B 001E 003B 001E 001E 001E 001E 001E 001E 001E 001E 001E 003B 001E 001E 001E 003B 001E 003B 001E 001E 001E 003B 001E 001E 001E 001E 001E 0ED8"
