"key","format","code"
"Power-Toggle","HEX","3;0x4B36D32C;32;0"
"Volume-Up","HEX","3;0x4BB640BF;32;0"
"Volume-Down","HEX","3;0x4BB6C03F;32;0"
"Input-BD-DVD","HEX","3;0x4B3631CE;32;0"
"Input-CBL-SAT","HEX","3;0x4BB6708F;32;0"
"Input-GAME","HEX","3;0x4BB6B04F;32;0"
"Input-STRMBOX","HEX","3;0x4BB630CF;32;0"
"Input-PC","HEX","3;0x4BB639C6;32;0"
"Input-AUX","HEX","3;0x4BB6F906;32;0"
"Input-CD","HEX","3;0x4BB6906F;32;0"
"Input-TV","HEX","3;0x4BB612ED;32;0"
"Input-PHONO","HEX","3;0x4BB650AF;32;0"
"Input-TUNER","HEX","3;0x4BB6D02F;32;0"
"Input-NET","HEX","3;0x4B40E11E;32;0"
"Input-Bluetooth","HEX","26;0x4B780A70;32;0"
"QuickMenu","HEX","3;0x4B36CA35;32;0"
"Info","HEX","3;0x4B36AA55;32;0"
"Return","HEX","3;0x4B362AD5;32;0"
"Settings","HEX","3;0x4B36DB24;32;0"
"Button-Left","HEX","3;0x4BB621DE;32;0"
"Button-Up","HEX","3;0x4BB641BE;32;0"
"Button-Right","HEX","3;0x4BB6A15E;32;0"
"Button-Down","HEX","3;0x4BB6C13E;32;0"
"Mute","HEX","3;0x4BB6A05F;32;0"
"ListeningMode-Movie-TV","HEX","3;0x4B350BF4;32;0"
"ListeningMode-Game","HEX","3;0x4B354BB4;32;0"
"ListeningMode-Music","HEX","3;0x4B358B74;32;0"
"Rewind","HEX","3;0x4B4009F6;32;0"
"Play-Pause","HEX","3;0x4B983AC5;32;0"
"Forward","HEX","3;0x4B40F10E;32;0"
"Mode","HEX","3;0x4B40CB34;32;0"
"Memory","HEX","3;0x4B404BB4;32;0"
"Repeat-Shuffle","HEX","3;0x4B98FA05;32;0"
"Enter","HEX","3;0x4BB6E916;32;0"
