"key","format","code"
"POWER_ON","HEX","5;0x40040100BCBD;48;5"
"POWER_OFF","HEX","5;0x40040100fcfd;48;0"
"HDMI_1","PRONTO","0000 006C 0000 0032 0084 0043 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0033 0011 0011 0011 0033 0011 0011 0011 0011 0011 0033 0011 0011 0011 0033 0011 0033 0011 0011 0011 0011 0011 0B1E"
"HDMI_2","PRONTO","0000 006C 0000 0032 0084 0043 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0033 0011 0033 0011 0011 0011 0033 0011 0033 0011 0011 0011 0033 0011 0011 0011 0033 0011 0033 0011 0011 0011 0011 0011 0B1E"
"HDMI_3","PRONTO","0000 006C 0000 0032 0084 0043 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0011 0033 0011 0011 0011 0011 0011 0033 0011 0033 0011 0011 0011 0033 0011 0011 0011 0033 0011 0033 0011 0011 0011 0033 0011 0033 0011 0011 0011 0011 0011 0B1E"
"HDMI_4","PRONTO","0000 0070 0000 0032 0080 0040 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0030 0010 0010 0010 0010 0010 0030 0010 0030 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0030 0010 0030 0010 0010 0010 0010 0010 0ACE"
"POWER_ONOFF","PRONTO","0000 0071 0000 0032 0080 0040 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0010 0010 0010 0010 0031 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0010 0010 0031 0010 0A9E"
"MENU","PRONTO","0000 0071 0000 0032 0080 0040 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0031 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0030 0010 0030 0010 0A9E"
"POWER_ON_TEST","PRONTO","0000 0071 0000 0032 0080 003F 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0010 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0030 0010 0A98"
"POWER_OFF_TEST","PRONTO","0000 0071 0000 0032 0080 003F 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0030 0010 0A98"
"POWER_ONOFF_TEST","PRONTO","0000 0071 0000 0032 0080 0040 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0010 0010 0010 0010 0031 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0010 0010 0031 0010 0A9E"
"EXIT","PRONTO","0000 0070 0000 0032 0080 0041 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0011 0010 0010 0010 0031 0010 0010 0010 0011 0010 0010 0010 0011 0010 0010 0010 0011 0010 0010 0010 0010 0010 0010 0010 0031 0010 0031 0010 0010 0010 0011 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0031 0010 0031 0010 0010 0010 0011 0010 0031 0010 0031 0010 0031 0010 0010 0010 0011 0010 0031 0010 0010 0010 0010 0010 0010 0010 0AA3"
"UP","PRONTO","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0011 0010 0031 0010 0031 0010 0AB4"
"DOWN","PRONTO","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0031 0010 0011 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0011 0010 0031 0010 0011 0010 0011 0010 0031 0010 0031 0010 0AB5"
"LEFT","PRONTO","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0031 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0031 0010 0AB4"
"RIGHT","PRONTO","0000 0070 0000 0032 0080 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0031 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0031 0010 0AAD"
"OK","PRONTO","0000 0070 0000 0032 0080 0041 0010 0010 0010 0031 0010 0011 0010 0010 0010 0010 0010 0011 0010 0010 0010 0010 0010 0011 0010 0011 0010 0010 0010 0011 0010 0010 0010 0031 0010 0010 0010 0011 0010 0010 0010 0011 0010 0010 0010 0010 0010 0011 0010 0010 0010 0011 0010 0031 0010 0011 0010 0010 0010 0011 0010 0010 0010 0010 0010 0011 0010 0010 0010 0010 0010 0031 0010 0011 0010 0010 0010 0031 0010 0010 0010 0010 0010 0031 0010 0011 0010 0031 0010 0011 0010 0010 0010 0031 0010 0011 0010 0010 0010 0031 0010 0031 0010 0AA7"
"RETURN","PRONTO","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0AB4"
"UNDERSCORE","PRONTO","0000 0073 0000 0032 007d 0042 000d 0010 000f 0032 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000f 0032 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000f 0032 000f 0032 000d 0010 000d 0010 000f 0032 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000f 0032 000d 0010 000f 0032 000f 0032 000f 0032 000d 0010 000d 0010 000f 0032 000f 0032 000d 0010 000f 0032 000d 0010 000d 04fb"
"LAST/*","PRONTO","0000 0073 0000 0032 007d 0041 000d 0010 000f 0032 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000f 0032 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000f 0032 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000d 0010 000f 0032 000f 0032 000f 0032 000d 0010 000f 0032 000f 0032 000d 0010 000d 0010 000f 0032 000f 0032 000f 0032 000d 0010 000f 0032 000f 0032 000d 0010 000f 0032 000d 04fb"
"INPUT","PRONTO","0000 0070 0000 0032 007e 0040 000e 000f 000f 002f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000f 002f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000f 002f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000f 002f 000e 000f 000f 002f 000e 000f 000e 000f 000e 000f 000e 000f 000e 000f 000f 002f 000e 000f 000f 002f 000e 000f 000e 000f 000e 000f 000e 000f 000f 0033 000d 0504"
"CC","PRONTO","0000 0070 0000 002a 007b 0044 000b 0013 000d 0035 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000d 0035 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000d 0035 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000d 0035 000b 0013 000b 00d5 000b 0013 000a 0096 000b 00d5 000b 0013 000b 0013 0009 050a"
"COMPONENT","PRONTO","0000 006D 0000 0032 0083 0042 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0031 0010 0AED"
