"key","format","code"
"POWER","HEX","3;0x926D58A7;32;0"
"INPUT","HEX","3;0x926D8877;32;0"
"OUT","HEX","3;0x926D04FB;32;0"
"SCL","HEX","3;0x926D847B;32;0"
"SFX","HEX","3;0x926D44BB;32;0"
"ADC","HEX","3;0x926DC43B;32;0"
"PROF","HEX","3;0x926D24DB;32;0"
1,"HEX","3;0x926DD02F;32;0"
2,"HEX","3;0x926DE01F;32;0"
3,"HEX","3;0x926DC03F;32;0"
4,"HEX","3;0x926D50AF;32;0"
5,"HEX","3;0x926D609F;32;0"
6,"HEX","3;0x926D40BF;32;0"
7,"HEX","3;0x926D906F;32;0"
8,"HEX","3;0x926DA05F;32;0"
9,"HEX","3;0x926D807F;32;0"
10,"HEX","3;0x926DA45B;32;0"
11,"HEX","3;0x926D649B;32;0"
12,"HEX","3;0x926DE41B;32;0"
"MENU","HEX","3;0x926D3AC5;32;0"
"BACK","HEX","3;0x926D42BD;32;0"
"UP","HEX","3;0x926D18E7;32;0"
"LEFT","HEX","3;0x926DEA15;32;0"
"ENTER","HEX","3;0x926DCA35;32;0"
"RIGHT","HEX","3;0x926DF20D;32;0"
"DOWN","HEX","3;0x926D08F7;32;0"
"DIAG","HEX","3;0x926D14EB;32;0"
"STAT","HEX","3;0x926D946B;32;0"
"AUTO-GAIN","HEX","3;0x926DD42B;32;0"
"AUTO-PHASE","HEX","3;0x926DB44B;32;0"
"PLAY_PAUSE","HEX","3;0x926D6A95;32;0"
"SAFE","HEX","3;0x926D748B;32;0"
"SYNC-GEN","HEX","3;0x926D34CB;32;0"
"SYNC-BUF","HEX","3;0x926DF40B;32;0"
"4K","HEX","3;0x926D0CF3;32;0"
"1080P","HEX","3;0x926D8C73;32;0"
"1440P","HEX","3;0x926D4CB3;32;0"
"480P","HEX","3;0x926DCC33;32;0"
"RES1","HEX","3;0x926D2CD3;32;0"
"RES2","HEX","3;0x926DAC53;32;0"
"RES3","HEX","3;0x926D6C93;32;0"
"AUX1","HEX","3;0x926D1CE3;32;0"
"AUX2","HEX","3;0x926D9C63;32;0"
"AUX3","HEX","3;0x926D5CA3;32;0"
"AUX4","HEX","3;0x926DDC23;32;0"
"AUX5","HEX","3;0x926D3CC3;32;0"
"AUX6","HEX","3;0x926DBC43;32;0"
"AUX7","HEX","3;0x926D7C83;32;0"
"AUX8","HEX","3;0x926DFC03;32;0"
