key,format,code
POWER,HEX,99;0x170F443E18800F00;64;1
CHANEL_UP,HEX,99;0x170F443E1A800D00;64;1
CHANEL_DOWN,HEX,99;0x170F443E11000E00;64;0
PLAY_PAUSE,HEX,99;0x170F443E14803000;64;1
FAST_FORDWARD,HEX,99;0x170F443E18003400;64;0
REWIND,HEX,99;0x170F443E19003300;64;0
PAGE_UP,HEX,99;0x170F443E15002800;64;0
PAGE_DOWN,HEX,99;0x170F443E1C802900;64;1
RECORD,HEX,99;0x170F443E17003500;64;0
EXIT,HEX,99;0x170F443E13002A00;64;0
GUIDE,HEX,99;0x170F443E16002700;64;0
XFINITY,HEX,99;0x170F443E1D002000;64;0
A_TRIANGLE,HEX,99;0x170F443E19006000;64;0
B_SQARE,HEX,99;0x170F443E18006100;64;0
C_CIRCLE,HEX,99;0x170F443E17006200;64;0
D_RHOMBUS,HEX,99;0x170F443E16006300;64;0
ARROW_UP,HEX,99;0x170F443E14802100;64;1
ARROW_DOWN,HEX,99;0x170F443E1B002200;64;0
ARROW_LEFT,HEX,99;0x170F443E12802300;64;1
ARROW_RIGHT,HEX,99;0x170F443E19002400;64;0
ARROW_ENTER,HEX,99;0x170F443E12002B00;64;0
BACK,HEX,99;0x170F443E19005100;64;0
INFO,HEX,99;0x170F443E1F802600;64;1
NUMBER_1,HEX,99;0x170F443E16800100;64;1
NUMBER_2,HEX,99;0x170F443E1D000200;64;0
NUMBER_3,HEX,99;0x170F443E1C000300;64;0
NUMBER_4,HEX,99;0x170F443E1B000400;64;0
NUMBER_5,HEX,99;0x170F443E1A000500;64;0
NUMBER_6,HEX,99;0x170F443E19000600;64;0
NUMBER_7,HEX,99;0x170F443E18000700;64;0
NUMBER_8,HEX,99;0x170F443E17000800;64;0
NUMBER_9,HEX,99;0x170F443E16000900;64;0
NUMBER_0,HEX,99;0x170F443E1F000000;64;0
REPLAY,HEX,99;0x170F443E17005300;64;0
